page	E1	E2	E3	E4	E5	E6	E7	total	max	e3_risk	blocks	error
106	-1	-1	1	1	1	1	1	5	5	0.0	2	None
107	-1	-1	1	1	1	1	1	5	5	0.013	8	None
108	-1	-1	1	1	1	1	1	5	5	0.0	8	None
109	-1	-1	1	1	1	1	1	5	5	0.0	8	None
110	-1	-1	1	1	1	1	1	5	5	0.008	25	None
111	-1	-1	1	1	1	1	1	5	5	0.007	5	None
112	-1	-1	1	1	1	1	1	5	5	0.015	10	None
113	-1	-1	1	1	1	1	1	5	5	0.003	8	None
114	-1	-1	1	1	1	1	1	5	5	0.005	10	None
115	-1	-1	1	1	1	1	1	5	5	0.001	8	None
116	-1	-1	1	1	1	1	1	5	5	0.005	10	None
117	-1	-1	1	1	1	1	1	5	5	0.016	8	None
118	-1	-1	1	1	1	1	1	5	5	0.009	7	None
119	-1	-1	1	1	1	1	1	5	5	0.0	12	None
120	-1	-1	1	1	1	1	1	5	5	0.0	3	None
121	-1	-1	1	1	1	1	1	5	5	0.001	14	None
122	-1	-1	1	1	1	1	1	5	5	0.0	7	None
123	-1	-1	1	1	1	1	1	5	5	0.001	8	None
124	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
125	-1	-1	1	1	1	1	1	5	5	0.002	8	None
126	-1	-1	1	1	1	1	1	5	5	0.0	7	None
127	-1	-1	1	1	1	1	1	5	5	0.008	11	None
128	-1	-1	1	1	1	1	1	5	5	0.005	4	None
129	-1	-1	1	1	1	1	1	5	5	0.006	7	None
130	-1	-1	1	1	1	1	1	5	5	0.027	7	None
131	-1	-1	1	1	1	1	1	5	5	0.001	8	None
132	-1	-1	1	1	1	1	1	5	5	0.001	14	None
133	-1	-1	1	1	1	1	1	5	5	0.004	7	None
134	-1	-1	1	1	1	1	1	5	5	0.001	7	None
135	-1	-1	1	1	1	1	1	5	5	0.001	8	None
136	-1	-1	1	1	1	1	1	5	5	0.0	9	None
137	-1	-1	1	1	1	1	1	5	5	0.003	9	None
138	-1	-1	1	1	1	1	1	5	5	0.002	10	None
139	-1	-1	1	1	1	1	1	5	5	0.0	11	None
140	-1	-1	1	1	1	1	1	5	5	0.002	4	None
141	-1	-1	1	1	1	1	1	5	5	0.001	10	None
142	-1	-1	1	1	1	1	1	5	5	0.0	8	None
143	-1	-1	1	1	1	1	1	5	5	0.007	8	None
144	-1	-1	1	1	1	1	1	5	5	0.003	7	None
145	-1	-1	1	1	1	1	1	5	5	0.01	11	None
146	-1	-1	1	1	1	1	1	5	5	0.0	4	None
147	-1	-1	1	1	1	1	1	5	5	0.013	10	None
148	-1	-1	1	1	1	1	1	5	5	0.001	5	None
149	-1	-1	1	1	1	1	1	5	5	0.0	2	None
150	-1	-1	1	1	1	1	1	5	5	0.004	7	None
151	-1	-1	1	1	1	1	1	5	5	0.011	7	None
152	-1	-1	1	1	1	1	1	5	5	0.001	5	None
153	-1	-1	1	1	1	1	1	5	5	0.006	6	None
154	-1	-1	1	1	1	1	1	5	5	0.005	7	None
155	-1	-1	1	1	1	1	1	5	5	0.003	2	None
156	-1	-1	1	1	1	1	1	5	5	0.012	6	None
157	-1	-1	1	1	1	1	1	5	5	0.005	7	None
158	-1	-1	1	1	1	1	1	5	5	0.002	4	None
159	-1	-1	1	1	1	1	1	5	5	0.0	7	None
160	-1	-1	1	1	1	1	1	5	5	0.0	5	None
161	-1	-1	1	1	1	1	1	5	5	0.0	10	None
162	-1	-1	1	1	1	1	1	5	5	0.0	3	None
163	-1	-1	1	1	1	1	1	5	5	0.001	9	None
164	-1	-1	1	1	1	1	1	5	5	0.003	5	None
165	-1	-1	1	1	1	1	1	5	5	0.006	8	None
166	-1	-1	1	1	1	1	1	5	5	0.004	6	None
167	-1	-1	1	1	1	1	1	5	5	0.002	9	None
168	-1	-1	1	1	1	1	1	5	5	0.0	3	None
169	-1	-1	1	1	1	1	1	5	5	0.035	5	None
170	-1	-1	1	1	1	1	1	5	5	0.008	6	None
171	-1	-1	1	1	1	1	1	5	5	0.003	11	None
172	-1	-1	1	1	1	1	1	5	5	0.0	9	None
173	-1	-1	1	1	1	1	1	5	5	0.0	3	None
174	-1	-1	1	1	1	1	1	5	5	0.001	7	None
175	-1	-1	1	1	1	1	1	5	5	0.004	7	None
176	-1	-1	1	1	1	1	1	5	5	0.001	5	None
177	-1	-1	1	1	1	1	1	5	5	0.007	9	None
178	-1	-1	1	1	1	1	1	5	5	0.002	11	None
179	-1	-1	1	1	1	1	1	5	5	0.026	10	None
180	-1	-1	1	1	1	1	1	5	5	0.0	2	None
181	-1	-1	1	1	1	1	1	5	5	0.0	9	None
182	-1	-1	1	1	1	1	1	5	5	0.088	6	None
183	-1	-1	1	1	1	1	1	5	5	0.0	10	None
184	-1	-1	1	1	1	1	1	5	5	0.01	7	None
185	-1	-1	1	1	1	1	1	5	5	0.001	6	None
186	-1	-1	1	1	1	1	1	5	5	0.011	6	None
187	-1	-1	1	1	1	1	1	5	5	0.0	9	None
188	-1	-1	1	1	1	1	1	5	5	0.001	7	None
189	-1	-1	1	1	1	1	1	5	5	0.024	5	None
190	-1	-1	1	1	1	1	1	5	5	0.0	4	None
191	-1	-1	1	1	1	1	1	5	5	0.006	5	None
192	-1	-1	1	1	1	1	1	5	5	0.004	7	None
193	-1	-1	1	1	1	1	1	5	5	0.001	11	None
194	-1	-1	1	1	1	1	1	5	5	0.0	4	None
195	-1	-1	1	1	1	1	1	5	5	0.002	7	None
196	-1	-1	1	1	1	1	1	5	5	0.0	8	None
197	-1	-1	1	1	1	1	1	5	5	0.0	10	None
198	-1	-1	1	1	1	1	1	5	5	0.004	7	None
199	-1	-1	1	1	1	1	1	5	5	0.002	6	None
200	-1	-1	1	1	1	1	1	5	5	0.0	10	None
201	-1	-1	1	1	1	1	1	5	5	0.004	11	None
202	-1	-1	1	1	1	1	1	5	5	0.003	7	None
203	-1	-1	1	1	1	1	1	5	5	0.01	9	None
204	-1	-1	1	1	1	1	1	5	5	0.007	8	None
205	-1	-1	1	1	1	1	1	5	5	0.001	9	None
206	-1	-1	1	1	1	1	1	5	5	0.015	8	None
207	-1	-1	1	1	1	1	1	5	5	0.001	5	None
208	-1	-1	1	1	1	1	1	5	5	0.007	5	None
209	-1	-1	1	1	1	1	1	5	5	0.02	7	None
210	-1	-1	1	1	1	1	1	5	5	0.0	10	None
211	-1	-1	1	1	1	1	1	5	5	0.001	10	None
212	-1	-1	1	1	1	1	1	5	5	0.007	8	None
213	-1	-1	1	1	1	1	1	5	5	0.001	8	None
214	-1	-1	1	1	1	1	1	5	5	0.061	5	None
215	-1	-1	1	1	1	1	1	5	5	0.001	11	None
216	-1	-1	1	1	1	1	1	5	5	0.055	7	None
217	-1	-1	1	1	1	1	1	5	5	0.0	13	None
218	-1	-1	1	1	1	1	1	5	5	0.0	6	None
219	-1	-1	1	1	1	1	1	5	5	0.002	7	None
220	-1	-1	1	1	1	1	1	5	5	0.001	7	None
221	-1	-1	1	1	1	1	1	5	5	0.0	5	None
222	-1	-1	1	1	1	1	1	5	5	0.002	7	None
223	-1	-1	1	1	1	1	1	5	5	0.003	5	None
224	-1	-1	1	1	1	1	1	5	5	0.002	8	None
225	-1	-1	1	1	1	1	1	5	5	0.009	9	None
226	-1	-1	1	1	1	1	1	5	5	0.001	3	None
227	-1	-1	1	1	1	1	1	5	5	0.01	8	None
228	-1	-1	1	1	1	1	1	5	5	0.0	2	None
229	-1	-1	1	1	1	1	1	5	5	0.0	7	None
230	-1	-1	1	1	1	1	1	5	5	0.013	4	None
231	-1	-1	1	1	1	1	1	5	5	0.001	6	None
232	-1	-1	1	1	1	1	1	5	5	0.002	5	None
233	-1	-1	1	1	1	1	1	5	5	0.012	5	None
234	-1	-1	1	1	1	1	1	5	5	0.0	5	None
235	-1	-1	1	1	1	1	1	5	5	0.001	6	None
236	-1	-1	1	1	1	1	1	5	5	0.004	7	None
237	-1	-1	1	1	1	1	1	5	5	0.001	5	None
238	-1	-1	1	1	1	1	1	5	5	0.0	5	None
239	-1	-1	1	1	1	1	1	5	5	0.0	6	None
240	-1	-1	1	1	1	1	1	5	5	0.007	7	None
241	-1	-1	1	1	1	1	1	5	5	0.011	9	None
242	-1	-1	1	1	1	1	1	5	5	0.0	3	None
243	-1	-1	1	1	1	1	1	5	5	0.008	9	None
244	-1	-1	1	1	1	1	1	5	5	0.001	8	None
245	-1	-1	1	1	1	1	1	5	5	0.001	5	None
246	-1	-1	1	1	1	1	1	5	5	0.0	6	None
247	-1	-1	1	1	1	1	1	5	5	0.001	4	None
248	-1	-1	1	1	1	1	1	5	5	0.0	9	None
249	-1	-1	1	1	1	1	1	5	5	0.009	6	None
250	-1	-1	1	1	1	1	1	5	5	0.002	4	None
251	-1	-1	1	1	1	1	1	5	5	0.001	6	None
252	-1	-1	1	1	1	1	1	5	5	0.0	5	None
253	-1	-1	1	1	1	1	1	5	5	0.002	8	None
254	-1	-1	1	1	1	1	1	5	5	0.0	1	None
255	-1	-1	1	1	1	1	1	5	5	0.005	5	None
256	-1	-1	1	1	1	1	1	5	5	0.001	4	None
257	-1	-1	1	1	1	1	1	5	5	0.01	5	None
258	-1	-1	1	1	1	1	1	5	5	0.0	4	None
259	-1	-1	1	1	1	1	1	5	5	0.009	7	None
260	-1	-1	1	1	1	1	1	5	5	0.021	8	None
261	-1	-1	1	1	1	1	1	5	5	0.002	6	None
262	-1	-1	1	1	1	1	1	5	5	0.002	7	None
263	-1	-1	1	1	1	1	1	5	5	0.011	5	None
264	-1	-1	1	1	1	1	1	5	5	0.007	8	None
265	-1	-1	1	1	1	1	1	5	5	0.001	10	None
266	-1	-1	1	1	1	1	1	5	5	0.0	1	None
267	-1	-1	1	1	1	1	1	5	5	0.0	7	None
268	-1	-1	1	1	1	1	1	5	5	0.001	6	None
269	-1	-1	1	1	1	1	1	5	5	0.001	8	None
270	-1	-1	1	1	1	1	1	5	5	0.014	4	None
271	-1	-1	1	1	1	1	1	5	5	0.0	1	None
272	-1	-1	1	1	1	1	1	5	5	0.007	9	None
273	-1	-1	1	1	1	1	1	5	5	0.017	9	None
274	-1	-1	1	1	1	1	1	5	5	0.0	10	None
275	-1	-1	1	1	1	1	1	5	5	0.004	11	None
276	-1	-1	1	1	1	1	1	5	5	0.0	6	None
277	-1	-1	1	1	1	1	1	5	5	0.01	10	None
278	-1	-1	1	1	1	1	1	5	5	0.025	7	None
279	-1	-1	1	1	1	1	1	5	5	0.001	7	None
280	-1	-1	1	1	1	1	1	5	5	0.015	8	None
281	-1	-1	1	1	1	1	1	5	5	0.001	6	None
282	-1	-1	1	1	1	1	1	5	5	0.004	9	None
283	-1	-1	1	1	1	1	1	5	5	0.0	14	None
284	-1	-1	1	1	1	1	1	5	5	0.004	4	None
285	-1	-1	1	1	1	1	1	5	5	0.001	6	None
286	-1	-1	1	1	1	1	1	5	5	0.0	12	None
287	-1	-1	1	1	1	1	1	5	5	0.002	5	None
288	-1	-1	1	1	1	1	1	5	5	0.004	5	None
289	-1	-1	1	1	1	1	1	5	5	0.001	8	None
290	-1	-1	1	1	1	1	1	5	5	0.007	15	None
291	-1	-1	1	1	1	1	1	5	5	0.007	6	None
292	-1	-1	1	1	1	1	1	5	5	0.0	6	None
293	-1	-1	1	1	1	1	1	5	5	0.002	5	None
294	-1	-1	1	1	1	1	1	5	5	0.001	4	None
295	-1	-1	1	1	1	1	1	5	5	0.0	12	None
296	-1	-1	1	1	1	1	1	5	5	0.041	4	None
297	-1	-1	1	1	1	1	1	5	5	0.002	6	None
298	-1	-1	1	1	1	1	1	5	5	0.005	5	None
299	-1	-1	1	1	1	1	1	5	5	0.005	8	None
300	-1	-1	1	1	1	1	1	5	5	0.0	5	None
301	-1	-1	1	1	1	1	1	5	5	0.002	12	None
302	-1	-1	1	1	1	1	1	5	5	0.02	31	None
303	-1	-1	1	1	1	1	1	5	5	0.0	9	None
304	-1	-1	1	1	1	1	1	5	5	0.004	5	None
305	-1	-1	1	1	1	1	1	5	5	0.004	9	None
306	-1	-1	1	1	1	1	1	5	5	0.0	5	None
307	-1	-1	1	1	1	1	1	5	5	0.002	5	None
308	-1	-1	1	1	1	1	1	5	5	0.002	9	None
309	-1	-1	1	1	1	1	1	5	5	0.001	11	None
310	-1	-1	1	1	1	1	1	5	5	0.002	30	None
311	-1	-1	1	1	1	1	1	5	5	0.006	11	None
312	-1	-1	1	1	1	1	1	5	5	0.004	3	None
313	-1	-1	1	1	1	1	1	5	5	0.001	11	None
314	-1	-1	1	1	1	1	1	5	5	0.036	5	None
315	-1	-1	1	1	1	1	1	5	5	0.0	15	None
316	-1	-1	1	1	1	1	1	5	5	0.0	1	None
317	-1	-1	1	1	1	1	1	5	5	0.001	8	None
318	-1	-1	1	1	1	1	1	5	5	0.0	4	None
319	-1	-1	1	1	1	1	1	5	5	0.006	9	None
320	-1	-1	1	1	1	1	1	5	5	0.0	2	None
321	-1	-1	1	1	1	1	1	5	5	0.0	5	None
322	-1	-1	1	1	1	1	1	5	5	0.0	6	None
323	-1	-1	1	1	1	1	1	5	5	0.0	7	None
324	-1	-1	1	1	1	1	1	5	5	0.0	8	None
325	-1	-1	1	1	1	1	1	5	5	0.0	3	None
326	-1	-1	1	1	1	1	1	5	5	0.005	4	None
327	-1	-1	1	1	1	1	1	5	5	0.0	4	None
328	-1	-1	1	1	1	1	1	5	5	0.0	2	None
329	-1	-1	1	1	1	1	1	5	5	0.0	6	None
330	-1	-1	1	1	1	1	1	5	5	0.0	6	None
331	-1	-1	1	1	1	1	1	5	5	0.0	3	None
332	-1	-1	1	1	1	1	1	5	5	0.0	3	None
333	-1	-1	1	1	1	1	1	5	5	0.0	5	None
334	-1	-1	1	1	1	1	1	5	5	0.0	3	None
335	-1	-1	1	1	1	1	1	5	5	0.003	5	None
336	-1	-1	1	1	1	1	1	5	5	0.0	4	None
337	-1	-1	1	1	1	1	1	5	5	0.002	6	None
338	-1	-1	1	1	1	1	1	5	5	0.004	6	None
339	-1	-1	1	1	1	1	1	5	5	0.005	4	None
340	-1	-1	1	1	1	1	1	5	5	0.009	4	None
341	-1	-1	1	1	1	1	1	5	5	0.002	5	None
342	-1	-1	1	1	1	1	1	5	5	0.001	3	None
343	-1	-1	1	1	1	1	1	5	5	0.001	12	None
344	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
345	-1	-1	1	1	1	1	1	5	5	0.001	8	None
346	-1	-1	1	1	1	1	1	5	5	0.0	2	None
347	-1	-1	1	1	1	1	1	5	5	0.0	5	None
348	-1	-1	1	1	1	1	1	5	5	0.002	9	None
349	-1	-1	1	1	1	1	1	5	5	0.0	6	None
350	-1	-1	1	1	1	1	1	5	5	0.0	5	None
351	-1	-1	1	1	1	1	1	5	5	0.0	5	None
352	-1	-1	1	1	1	1	1	5	5	0.0	6	None
353	-1	-1	1	1	1	1	1	5	5	0.019	6	None
354	-1	-1	1	1	1	1	1	5	5	0.007	3	None
355	-1	-1	1	1	1	1	1	5	5	0.039	8	None
356	-1	-1	1	1	1	1	1	5	5	0.0	8	None
357	-1	-1	1	1	1	1	1	5	5	0.0	10	None
358	-1	-1	1	1	1	1	1	5	5	0.0	6	None
359	-1	-1	1	1	1	1	1	5	5	0.001	13	None
360	-1	-1	1	1	1	1	1	5	5	0.0	1	None
361	-1	-1	1	1	1	1	1	5	5	0.0	6	None
362	-1	-1	1	1	1	1	1	5	5	0.002	6	None
363	-1	-1	1	1	1	1	1	5	5	0.0	9	None
364	-1	-1	1	1	1	1	1	5	5	0.0	4	None
